element_id,element_type,latitude,longitude,highway,crossing,traffic_signals
4684477765,node,-27.4664842,153.0187195,traffic_signals,,signal
4730149099,node,-27.4599332,153.0146018,traffic_signals,,
4730149106,node,-27.4599254,153.0145182,traffic_signals,,
4750877477,node,-27.4648168,153.013593,crossing,unmarked,
4750877496,node,-27.4599859,153.0153347,crossing,unmarked,
4750906571,node,-27.4655249,153.0169625,traffic_signals,,signal
4830935121,node,-27.4671952,153.015134,crossing,traffic_signals,
4830935122,node,-27.4672882,153.0151724,crossing,traffic_signals,
4830935125,node,-27.4672661,153.0153899,crossing,traffic_signals,
4971819775,node,-27.459081,152.9989555,crossing,unmarked,
4971995648,node,-27.4724073,153.0170548,crossing,traffic_signals,
4971995649,node,-27.4723349,153.0169881,crossing,traffic_signals,
4971995650,node,-27.4721679,153.0172551,crossing,traffic_signals,
4971995651,node,-27.4722533,153.0173194,crossing,traffic_signals,
4971995652,node,-27.4723288,153.0173051,crossing,traffic_signals,
4972061276,node,-27.4636186,152.9994069,crossing,traffic_signals,
4974588062,node,-27.4683676,153.0112727,crossing,traffic_signals,
4974588372,node,-27.4585847,153.0128232,traffic_signals,,pedestrian_crossing
4974588421,node,-27.4584118,153.0122215,crossing,unmarked,
4974588446,node,-27.4585713,153.0127035,traffic_signals,,
4974588459,node,-27.457931,153.0119445,traffic_signals,,
4974588460,node,-27.4581717,153.0120553,traffic_signals,,
4974588462,node,-27.4587839,153.0128966,traffic_signals,,
5166969310,node,-27.466762,153.00119,crossing,traffic_signals,
5166969311,node,-27.46655,153.0012749,crossing,traffic_signals,
5166969312,node,-27.4667689,153.0009758,crossing,traffic_signals,
5166969313,node,-27.466665,153.0009837,crossing,traffic_signals,
5166969317,node,-27.4662536,152.9980009,crossing,unmarked,
5167009658,node,-27.4682454,152.9991544,crossing,unmarked,
5174894381,node,-27.4672301,153.0152256,crossing,traffic_signals,
5174894382,node,-27.4672276,153.0153046,crossing,traffic_signals,
5174894384,node,-27.4661184,153.0161402,crossing,unmarked,
5174894389,node,-27.4662193,153.0161349,crossing,unmarked,
5174894527,node,-27.4662599,153.0160787,crossing,unmarked,
5174894621,node,-27.4660378,153.0145372,traffic_signals,,signal
